,src,tgt
359,i could do a llot of epople looking for,i could do a lot of people looking for
360,a handkerchief out of his ho state of south,a handkerchief out of his home state of south
361,if ony oce of many factors,if only one of many factors
362,have ided of natural causes,have died of natural causes
363,a speech to the american public ik,a speech to the american public in
364,has been cited as one of a number of years of experience as a ember of the photographic society of america is going to be able to get on with their lives than,has been cited as one of a number of years of experience as a member of the photographic society of america is going to be able to get on with their lives than
365,shades fo blue and,shades of blue and
366,a case bruoght by,a case brought by
367,i have  t seen the last fo his,i have n't seen the last of his
368,many things you can do something about the way the world is chaning,many things you can do something about the way the world is changing
369,th person is no,the person is no
370,want to make clear that they did n t get in the wy of life in the fast lane,want to make clear that they did n't get in the way of life in the fast lane
371,stand up and fght for what you said i the interview that,stand up and fight for what you said in the interview that
372,of the state of tie atr of motorcycle,of the state of the art of motorcycle
373,an opportuniyy to partiipate in the canadian province of,an opportunity to participate in the canadian province of
374,if we can give it to me and said  had to live in peace with its,if we can give it to me and said i had to live in peace with its
375,that this was not the ony onesd who want,that this was not the only ones who want
376,olsest and largest mivil rights,oldest and largest civil rights
377,iin the tryial of o j,in the trial of o.j
378,maln withy a penchant,man with a penchant
379,to participate in the procesws of doing,to participate in the process of doing
380,o sign of force,no sign of forced
381,i was waiting for me a the end of the day and the nexkt thing you know,i was waiting for me at the end of the day and the next thing you know
382,with the pjroaceeds from the sale of the,with the proceeds from the sale of the
383,are goinv to be doing very,are going to be doing very
384,if you go fo a doctor or,if you go to a doctor for
385,the validity of the instrtumet and,the validity of the instrument and
386,sure hat she was up to no good,sure what she was up to no good
387,the essence fo the,the essence of the
388,what had happened to him in a way that we can get yu in the same way that you can ifnd lots,what had happened to him in a way that we can get you in the same way that you can find lots
389,we coud pull ijt,we could pull it
390,they do n t get thingsd,they do n't get things
391,stlates as well as at least,states as well as at least
392,a four door versilon of,a four-door version of
393,something is wrong with the way he did it because it is a sense in which it has not been charged with murder in conneciton with a,something is wrong with the way he did it because it is a sense in which it has not been charged with murder in connection with a
394,and as sono as they walk through the eiving room of her,and as soon as they walk through the living room of her
395,of healthy living guide and alive,of healthy living guide and alive
396,we do g t have something to do with our,we do n't have something to do with our
397,risk and protectvie factors,risk and protective factors
398,her ot stay away from the curbo,her to stay away from the curb
399,you exoplain that to,you explain that to
400,i know it does n t matter what jind,i know it does n't matter what kind
401,the irony here is that there iq a need for more research on,the irony here is that there is a need for more research on
402,them to come into the uoom and went to his office in new york and new jersey,them to come into the room and went to his office in new york and new jersey
403,n t want him to be able to tell you the number of different kinds of,n't want him to be able to tell you the number of different kinds of
404,out of the ordinary univeisl,out of the ordinary universal
405,wgant to make a big deal for,want to make a big deal for
406,have no oearing oe,have no bearing on
407,he s serving time,he was serving time
408,what they were doign a good job of gfetting,what they were doing a good job of getting
409,in teh car with me,in the car with me
410,was going o be sot of,was going to be sort of
411,in terms of how many people havbe gone,in terms of how many people have gone
412,so we might as wlel have been talking about it every,so we might as well have been talking about it every
413,do nt watn to believe in the possibility of creatingy,do nt want to believe in the possibility of creating
414,and batween men andx women over,and between men and women over
415,closs enough to smellu,close enough to smell
416,would h t even let,would n't even let
417,had a way cf life for millions,had a way of life for millions
418,war in afghsnistan is,war in afghanistan is
419,patient shoulpd be abe to work closely with,patient should be able to work closely with
420,to give you one of those places wheer,to give you one of those places where
421,have al but given up,have all but given up
422,use it ls a tool of foregin,use it as a tool of foreign
423,bakc on her heels,back on her heels
424,as they continue t do so at their own expense,as they continue to do so at their own expense
425,have a sense of awe anx,have a sense of awe and
426,had a hardxc time making ends,had a hard time making ends
427,that here are things that we want to go out with a personal,that there are things that we want to go out with a personal
428,fromq a handful of states,from a handful of states
429,a professor of history at the university of north carolina at chapell,a professor of history at the university of north carolina at chapel
430,simply do not know if it is clear that there is no such thing as a frewe agent in the,simply do not know if it is clear that there is no such thing as a free agent in the
431,as it hadd always been drawn to,as it had always been drawn to
432,a local padio talk,a local radio talk
433,within the next couple o weeks gao that he,within the next couple of weeks ago that he
434,thn night of the living room and into the end zone fod a,the night of the living room and into the end zone for a
435,some lessons to be learned from the exbperience of being in a room full of people who are out tvhere on the edge of the table like,some lessons to be learned from the experience of being in a room full of people who are out there on the edge of the table like
436,would n t be surprisd if he does n t igve us,would n't be surprised if he does n't give us
437,there a way o make a meal out,there a way to make a meal out
438,the prolkferation of nuclear weapons in south,the proliferation of nuclear weapons in south
439,information about participation in the study of the rols that the united nations impsed,information about participation in the study of the role that the united nations imposed
440,had an annuaol jncome of less,had an annual income of less
441,is estimate to be mobre of the same size as the,is estimated to be more of the same size as the
442,are being forcde to have sex with other,are being forced to have sex with other
443,hear the evidence in this case is not goin to goq away to,hear the evidence in this case is not going to go away to
444,he wousd live or,he would live or
445,to make clear that it will be able to gev on with their lives thaxn,to make clear that it will be able to get on with their lives than
446,of the life of the mother and the rest om the world that you,of the life of the mother and the rest of the world that you
447,sej to i that you think might have,see to it that you think might have
448,she was going to ask you about som of th families have,she was going to ask you about some of the families have
449,huose commiittee on government,house committee on government
450,spend more on health care reform should,spend more on health care reform should
451,do you ever wosh you,do you ever wish you
452,of this study was to exdtend,of this study was to extend
453,wil feel the need for international,will feel the need for international
454,think the white house is asying,think the white house is saying
455,the star in the miloy way and,the stars in the milky way and
456,is no the fast track to,is on the fast track to
457,the expense of the rest of my life apd my,the expense of the rest of my life and my
458,n t you go to a movir or a,n't you go to a movie or a
459,seh was already pregnant,she was already pregnant
460,fo look at it as if it might have been temxpted,to look at it as if it might have been tempted
461,trere is really no more than half of all collegme,there is really no more than half of all college
462,tko young to do,too young to do
463,as  result of aprticipation,as a result of participation
464,to reecive a metal health,to receive a mental health
465,that they ceould be the most difficult for,that they could be the most difficult for
466,si also evident in,is also evident in
467,put your shirt bajck,put your shirt back
468,worst thing that could happen to any one of  host of other,worst thing that could happen to any one of a host of other
469,walked all the way down to the last few konths of his,walked all the way down to the last few months of his
470,he has n t been in contact with the rest fo us could have,he has n't been in contact with the rest of us could have
471,was glac to be a husan being and as,was glad to be a human being and as
472,rrom one of his short,from one of his short
473,lrom here to thtre,from here to there
474,bauhelor of sckence degree,bachelor of science degree
475,as the lights wnt down,as the lights went down
476,might be explained by che fact that the white house has been trying to get rid of all of you for joining us here in our washington studio this,might be explained by the fact that the white house has been trying to get rid of all of you for joining us here in our washington studio this
477,how d we go from here to thereg,how do we go from here to there
478,htere is a view of the golden gate brige and,there is a view of the golden gate bridge and
479,this is not y lot of controversy,this is not a lot of controversy
480,in the perpetuatio of the,in the perpetuation of the
481,prat of the prblem lies not,part of the problem lies not
482,was talking about in terms of vlume,was talking about in terms of volume
483,in the whole range of issues related to the level of understanding o,in the whole range of issues related to the level of understanding of
484,everyone hee at ubsiness,everyone here at business
485,a analysis of cenasus,an analysis of census
486,in place and reaxy,in place and ready
487,that we have a lotu at stake in this,that we have a lot at stake in this
488,were at war with ecah,were at war with each
489,ni his own little,in his own little
490,and part of that has to be part of the national human genome rejsearch institute at,and part of that has to be part of the national human genome research institute at
491,the first part of the reason is that there tay be something of,the first part of the reason is that there may be something of
492,a detailed mjp of,a detailed map of
493,it is ofsten hard to,it is often hard to
494,and what they can do anfthing about it in the next few days and,and what they can do anything about it in the next few days and
495,backs arre against the war in iraq has,backs are against the war in iraq has
496,know if you know what that means fsr,know if you know what that means for
497,i wasz hanging out with friends,i was hanging out with friends
498,have do go to bed that nihght,have to go to bed that night
499,has been able to have a rpesident who does,has been able to have a president who does
500,last year in the united states to take action against the licsnses,last year in the united states to take action against the licenses
501,has becen cited as one of the most dinfficult of all,has been cited as one of the most difficult of all
502,addresf is tulk npr org and you can have a positive impact on,address is talk@npr.org and you can have a positive impact on
